Zmienna;jednostka miary;Kwartal;Rok;Wartosc;;;;;;;;;;;;;;;;;;;;;;Odwrotnie
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2020;4987;;;;;;;;;;;;;;;;;;;;;;1930
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2020;5000;;;;;;;;;;;;;;;;;;;;;;1960
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2020;4567;;;;;;;;;;;;;;;;;;;;;;2150
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2019;4597;;;;;;;;;;;;;;;;;;;;;;2200
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2019;4376;;;;;;;;;;;;;;;;;;;;;;2220
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2019;4484;;;;;;;;;;;;;;;;;;;;;;2245
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2019;4388;;;;;;;;;;;;;;;;;;;;;;2280
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2018;4139;;;;;;;;;;;;;;;;;;;;;;2300
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2018;4385;;;;;;;;;;;;;;;;;;;;;;2300
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2018;4294;;;;;;;;;;;;;;;;;;;;;;2350
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2018;4132;;;;;;;;;;;;;;;;;;;;;;2490
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2017;4145;;;;;;;;;;;;;;;;;;;;;;2700
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2017;4097;;;;;;;;;;;;;;;;;;;;;;2500
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2017;4014;;;;;;;;;;;;;;;;;;;;;;2400
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2017;4424;;;;;;;;;;;;;;;;;;;;;;2400
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2016;4000;;;;;;;;;;;;;;;;;;;;;;2484
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2016;3976;;;;;;;;;;;;;;;;;;;;;;2330
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2016;4063;;;;;;;;;;;;;;;;;;;;;;2071
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2016;4177;;;;;;;;;;;;;;;;;;;;;;2332
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2015;3925;;;;;;;;;;;;;;;;;;;;;;2117
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2015;3961;;;;;;;;;;;;;;;;;;;;;;2432
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2015;4066;;;;;;;;;;;;;;;;;;;;;;2412
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2015;3926;;;;;;;;;;;;;;;;;;;;;;2562
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2014;3984;;;;;;;;;;;;;;;;;;;;;;2386
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2014;3880;;;;;;;;;;;;;;;;;;;;;;2195
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2014;4141;;;;;;;;;;;;;;;;;;;;;;2505
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2014;4129;;;;;;;;;;;;;;;;;;;;;;2336
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2013;4228;;;;;;;;;;;;;;;;;;;;;;2528
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2013;3975;;;;;;;;;;;;;;;;;;;;;;2388
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2013;3879;;;;;;;;;;;;;;;;;;;;;;2560
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2013;4019;;;;;;;;;;;;;;;;;;;;;;2445
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2012;3837;;;;;;;;;;;;;;;;;;;;;;2557
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2012;3915;;;;;;;;;;;;;;;;;;;;;;2619
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2012;4103;;;;;;;;;;;;;;;;;;;;;;2683
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2012;4130;;;;;;;;;;;;;;;;;;;;;;2650
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2011;3829;;;;;;;;;;;;;;;;;;;;;;3041
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2011;3988;;;;;;;;;;;;;;;;;;;;;;2890
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2011;3819;;;;;;;;;;;;;;;;;;;;;;2970
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2011;3797;;;;;;;;;;;;;;;;;;;;;;3186
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2010;3979;;;;;;;;;;;;;;;;;;;;;;3478
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2010;4657;;;;;;;;;;;;;;;;;;;;;;3631
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2010;4433;;;;;;;;;;;;;;;;;;;;;;3895
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2010;4372;;;;;;;;;;;;;;;;;;;;;;3924
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2009;3964;;;;;;;;;;;;;;;;;;;;;;3783
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2009;3783;;;;;;;;;;;;;;;;;;;;;;3964
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2009;3924;;;;;;;;;;;;;;;;;;;;;;4372
